date,u_t,C_fee,base_fee_gwei,G_eff,gas_price_gwei,S_t,S_regime,l1_tx_count,l2_tx_total,A_t,arbitrum_tx_count,A_arbitrum,optimism_tx_count,A_optimism,base_tx_count,A_base,P_calldata_bytes,P_calldata_mb,eth_close_usd,eth_return_1d,eth_return_1d_log,eth_volatility_30d,eth_price_log,regime_pre_london,regime_post_london,regime_post_merge,regime_post_dencun,weekday,is_weekend,day_of_month,is_month_end,D_star_lite,D_star_lite_evr,D_eth_return,D_cex_volume,D_trends,realized_volatility,cex_volume_log,trends_ethereum,stablecoin_net_usd,D_star
2015-11-30,,,,24.734215103070575,55199244474.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,30,True,,,,,,,,,,
2015-12-01,,,,24.727648262621322,54837947431.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,1,False,,,,,,,,,,
2015-12-02,,,,24.704606770006368,53588845124.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,2,False,,,,,,,,,,
2015-12-03,,,,24.704159094970787,53564860105.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,3,False,,,,,,,,,,
2015-12-04,,,,24.71077130196606,53920215595.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,4,False,,,,,,,,,,
2015-12-05,,,,24.720186257552243,54430269329.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,5,False,,,,,,,,,,
2015-12-06,,,,24.7104855940484,53904812363.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,6,False,,,,,,,,,,
2015-12-07,,,,24.71204404629062,53988885934.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,7,False,,,,,,,,,,
2015-12-08,,,,24.70749065886448,53743612456.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,8,False,,,,,,,,,,
2015-12-09,,,,24.725749385934293,54733915734.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,9,False,,,,,,,,,,
2015-12-10,,,,24.729475665959576,54938250098.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,10,False,,,,,,,,,,
2015-12-11,,,,24.787078992324915,58195798149.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,11,False,,,,,,,,,,
2015-12-12,,,,24.809014382081976,59486449382.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,12,False,,,,,,,,,,
2015-12-13,,,,24.76106913237179,56701649126.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,13,False,,,,,,,,,,
